run_name,algorithm,precision,recall,f1_score,roc_auc,pr_auc
lof_neighbors_20,LocalOutlierFactor,0.3017241379310345,0.5147058823529411,0.3804347826086957,0.8617403483132383,0.43798223391040947
lof_neighbors_35,LocalOutlierFactor,0.28205128205128205,0.4852941176470588,0.3567567567567568,0.85541499208379,0.43546639855973973
one_class_svm_nu_0035,OneClassSVM,0.29464285714285715,0.4852941176470588,0.36666666666666664,0.8621133235903057,0.41947865978506976
one_class_svm_nu_005,OneClassSVM,0.2569444444444444,0.5441176470588235,0.3490566037735849,0.8618697478991597,0.4120357392433068
isolation_forest_100,IsolationForest,0.17708333333333334,0.25,0.2073170731707317,0.8001080867129461,0.130131280370788
isolation_forest_200,IsolationForest,0.1702127659574468,0.23529411764705882,0.19753086419753085,0.7993164657167214,0.12920588961841412
isolation_forest_300,IsolationForest,0.1566265060240964,0.19117647058823528,0.17218543046357615,0.7964772865668006,0.1232315717772232
